ID,tobacco_type,response
62,heated tobacco,.S
62,hookah,.S
62,smokeless tobacco,.S
63,cigar,.S
63,cigarette,.S
63,e-cigarette,.S
63,heated tobacco,.S
63,hookah,.S
63,smokeless tobacco,.S
64,cigar,.S
64,cigarette,.S
64,e-cigarette,.S
64,heated tobacco,.S
64,hookah,.S
64,smokeless tobacco,.S
65,cigar,.S
65,cigarette,.S
65,e-cigarette,0
65,heated tobacco,.S
65,hookah,.S
65,smokeless tobacco,.S
66,cigar,.S
66,cigarette,.S
66,e-cigarette,.S
66,heated tobacco,.S
66,hookah,.S
66,smokeless tobacco,.S
67,cigar,.S
67,cigarette,.S
67,e-cigarette,.S
67,heated tobacco,.S
67,hookah,.S
67,smokeless tobacco,.S
68,cigar,.S
68,cigarette,.S
68,e-cigarette,.S
68,heated tobacco,.S
68,hookah,.S
68,smokeless tobacco,.S
71,cigar,.S
71,cigarette,.S
71,e-cigarette,.S
71,heated tobacco,.S
71,hookah,.S
71,smokeless tobacco,.S
72,cigar,.S
72,cigarette,.S
72,e-cigarette,.S
72,heated tobacco,.S
72,hookah,.S
72,smokeless tobacco,.S
73,cigar,0
73,cigarette,.S
73,e-cigarette,0
73,heated tobacco,.S
73,hookah,.S
73,smokeless tobacco,.S
74,cigar,.S
74,cigarette,.S
74,e-cigarette,.S
74,heated tobacco,.S
74,hookah,.S
74,smokeless tobacco,.S
76,cigar,.S
76,cigarette,.S
76,e-cigarette,.S
76,heated tobacco,.S
76,hookah,.S
76,smokeless tobacco,.S
78,cigar,.S
78,cigarette,.S
78,e-cigarette,0
78,heated tobacco,.S
78,hookah,.S
78,smokeless tobacco,.S
79,cigar,.S
79,cigarette,.S
79,e-cigarette,.S
79,heated tobacco,.S
79,hookah,.S
79,smokeless tobacco,.S
80,cigar,.S
80,cigarette,.S
80,e-cigarette,.S
80,heated tobacco,.S
80,hookah,.S
80,smokeless tobacco,.S
81,cigar,.S
81,cigarette,.S
81,e-cigarette,.S
81,heated tobacco,.S
81,hookah,.S
81,smokeless tobacco,.S
82,cigar,.S
82,cigarette,.S
82,e-cigarette,.S
82,heated tobacco,.S
82,hookah,.S
82,smokeless tobacco,.S
84,cigar,1
84,cigarette,3
84,e-cigarette,4
84,heated tobacco,0
84,hookah,.S
84,smokeless tobacco,.S
86,cigar,.S
86,cigarette,.S
86,e-cigarette,3
86,heated tobacco,0
86,hookah,.S
86,smokeless tobacco,.S
87,cigar,.S
87,cigarette,.S
87,e-cigarette,2
87,heated tobacco,.S
87,hookah,.S
87,smokeless tobacco,.S
88,cigar,.S
88,cigarette,.S
88,e-cigarette,.S
88,heated tobacco,.S
88,hookah,.S
88,smokeless tobacco,.S
89,cigar,.S
89,cigarette,.S
89,e-cigarette,.S
89,heated tobacco,.S
89,hookah,.S
89,smokeless tobacco,.S
90,cigar,.S
90,cigarette,0
90,e-cigarette,0
90,heated tobacco,0
90,hookah,.S
90,smokeless tobacco,.S
94,cigar,.S
94,cigarette,.S
94,e-cigarette,.S
94,heated tobacco,0
94,hookah,.S
94,smokeless tobacco,.S
95,cigar,.S
95,cigarette,.S
95,e-cigarette,5
95,heated tobacco,.S
95,hookah,.S
95,smokeless tobacco,.S
96,cigar,.S
96,cigarette,0
96,e-cigarette,1
96,heated tobacco,.S
96,hookah,.S
96,smokeless tobacco,.S
98,cigar,.S
98,cigarette,.S
98,e-cigarette,.S
98,heated tobacco,.S
98,hookah,.S
98,smokeless tobacco,.S
100,cigar,.S
100,cigarette,.S
100,e-cigarette,.S
100,heated tobacco,.S
100,hookah,.S
100,smokeless tobacco,.S
102,cigar,.S
102,cigarette,.S
102,e-cigarette,0
102,heated tobacco,.S
102,hookah,.S
102,smokeless tobacco,.S
103,cigar,.S
103,cigarette,.S
103,e-cigarette,.S
103,heated tobacco,.S
103,hookah,.S
103,smokeless tobacco,.S
104,cigar,.S
104,cigarette,.S
104,e-cigarette,.S
104,heated tobacco,0
104,hookah,.S
104,smokeless tobacco,.S
106,cigar,0
106,cigarette,0
106,e-cigarette,30
106,heated tobacco,0
106,hookah,.S
106,smokeless tobacco,.S
108,cigar,.S
108,cigarette,.S
108,e-cigarette,0
108,heated tobacco,.S
108,hookah,.S
108,smokeless tobacco,.S
109,cigar,6
109,cigarette,2
109,e-cigarette,30
109,heated tobacco,.S
109,hookah,0
109,smokeless tobacco,.S
111,cigar,.S
111,cigarette,.S
111,e-cigarette,.S
111,heated tobacco,.S
111,hookah,.S
111,smokeless tobacco,.S
113,cigar,.S
113,cigarette,0
113,e-cigarette,.S
113,heated tobacco,.S
113,hookah,0
113,smokeless tobacco,.S
114,cigar,0
114,cigarette,.S
114,e-cigarette,.S
114,heated tobacco,0
114,hookah,.S
114,smokeless tobacco,.S
115,cigar,0
115,cigarette,0
115,e-cigarette,0
115,heated tobacco,.S
115,hookah,0
115,smokeless tobacco,.S
116,cigar,.S
116,cigarette,.S
116,e-cigarette,.S
116,heated tobacco,.S
116,hookah,.S
116,smokeless tobacco,.S
117,cigar,0
117,cigarette,.S
117,e-cigarette,0
117,heated tobacco,.S
117,hookah,0
117,smokeless tobacco,.S
118,cigar,.S
118,cigarette,.S
118,e-cigarette,20
118,heated tobacco,.S
118,hookah,.S
118,smokeless tobacco,.S
119,cigar,.S
119,cigarette,.S
119,e-cigarette,.S
119,heated tobacco,.S
119,hookah,.S
119,smokeless tobacco,.S
120,cigar,.S
120,cigarette,.S
120,e-cigarette,25
120,heated tobacco,.S
120,hookah,.S
120,smokeless tobacco,.S
121,cigar,.S
121,cigarette,.S
121,e-cigarette,0
121,heated tobacco,.S
121,hookah,.S
121,smokeless tobacco,.S
122,cigar,.S
122,cigarette,0
122,e-cigarette,0
122,heated tobacco,.S
122,hookah,.S
122,smokeless tobacco,.S
123,cigar,.S
123,cigarette,.S
123,e-cigarette,2
123,heated tobacco,.S
123,hookah,.S
123,smokeless tobacco,.S
124,cigar,.S
124,cigarette,.S
124,e-cigarette,0
124,heated tobacco,.S
124,hookah,.S
124,smokeless tobacco,.S
127,cigar,.S
127,cigarette,.S
127,e-cigarette,0
127,heated tobacco,.S
127,hookah,.S
127,smokeless tobacco,.S
128,cigar,2
128,cigarette,0
128,e-cigarette,0
128,heated tobacco,.S
128,hookah,.S
128,smokeless tobacco,.S
129,cigar,30
129,cigarette,.S
129,e-cigarette,30
129,heated tobacco,.N
129,hookah,.N
129,smokeless tobacco,.S
130,cigar,.S
130,cigarette,.S
130,e-cigarette,0
130,heated tobacco,3
130,hookah,.S
130,smokeless tobacco,.S
131,cigar,.S
131,cigarette,.S
131,e-cigarette,2
131,heated tobacco,0
131,hookah,.S
131,smokeless tobacco,.S
132,cigar,.S
132,cigarette,.S
132,e-cigarette,0
132,heated tobacco,.S
132,hookah,.S
132,smokeless tobacco,.S
134,cigar,.S
134,cigarette,.S
134,e-cigarette,.S
134,heated tobacco,.S
134,hookah,.S
134,smokeless tobacco,.S
136,cigar,.S
136,cigarette,.S
136,e-cigarette,0
136,heated tobacco,0
136,hookah,.S
136,smokeless tobacco,.S
138,cigar,.S
138,cigarette,.S
138,e-cigarette,.S
138,heated tobacco,.S
138,hookah,.S
138,smokeless tobacco,.S
140,cigar,30
140,cigarette,30
140,e-cigarette,1
140,heated tobacco,.S
140,hookah,.S
140,smokeless tobacco,.S
142,cigar,.S
142,cigarette,.S
142,e-cigarette,.S
142,heated tobacco,.S
142,hookah,.S
142,smokeless tobacco,.S
144,cigar,.S
144,cigarette,.S
144,e-cigarette,.S
144,heated tobacco,.S
144,hookah,.S
144,smokeless tobacco,.S
146,cigar,.S
146,cigarette,.S
146,e-cigarette,.S
146,heated tobacco,.S
146,hookah,.S
146,smokeless tobacco,.S
148,cigar,.S
148,cigarette,.S
148,e-cigarette,.S
