ID,tobacco_type,response
66,heated tobacco,2
66,hookah,2
66,smokeless tobacco,2
67,cigar,2
67,cigarette,2
67,e-cigarette,2
67,heated tobacco,2
67,hookah,2
67,smokeless tobacco,2
68,cigar,2
68,cigarette,2
68,e-cigarette,2
68,heated tobacco,2
68,hookah,2
68,smokeless tobacco,2
71,cigar,2
71,cigarette,2
71,e-cigarette,2
71,heated tobacco,2
71,hookah,2
71,smokeless tobacco,2
72,cigar,2
72,cigarette,2
72,e-cigarette,2
72,heated tobacco,2
72,hookah,2
72,smokeless tobacco,2
73,cigar,1
73,cigarette,2
73,e-cigarette,1
73,heated tobacco,2
73,hookah,2
73,smokeless tobacco,2
74,cigar,2
74,cigarette,2
74,e-cigarette,2
74,heated tobacco,2
74,hookah,2
74,smokeless tobacco,2
76,cigar,2
76,cigarette,2
76,e-cigarette,2
76,heated tobacco,2
76,hookah,2
76,smokeless tobacco,2
78,cigar,2
78,cigarette,2
78,e-cigarette,1
78,heated tobacco,2
78,hookah,2
78,smokeless tobacco,2
79,cigar,2
79,cigarette,2
79,e-cigarette,2
79,heated tobacco,2
79,hookah,2
79,smokeless tobacco,2
80,cigar,2
80,cigarette,2
80,e-cigarette,2
80,heated tobacco,2
80,hookah,2
80,smokeless tobacco,2
81,cigar,2
81,cigarette,2
81,e-cigarette,2
81,heated tobacco,2
81,hookah,2
81,smokeless tobacco,2
82,cigar,2
82,cigarette,2
82,e-cigarette,2
82,heated tobacco,2
82,hookah,2
82,smokeless tobacco,2
84,cigar,1
84,cigarette,1
84,e-cigarette,1
84,heated tobacco,3
84,hookah,2
84,smokeless tobacco,2
86,cigar,2
86,cigarette,2
86,e-cigarette,1
86,heated tobacco,3
86,hookah,2
86,smokeless tobacco,2
87,cigar,2
87,cigarette,2
87,e-cigarette,1
87,heated tobacco,2
87,hookah,2
87,smokeless tobacco,2
88,cigar,2
88,cigarette,2
88,e-cigarette,2
88,heated tobacco,2
88,hookah,2
88,smokeless tobacco,2
89,cigar,2
89,cigarette,2
89,e-cigarette,2
89,heated tobacco,2
89,hookah,2
89,smokeless tobacco,2
90,cigar,2
90,cigarette,1
90,e-cigarette,1
90,heated tobacco,3
90,hookah,2
90,smokeless tobacco,2
94,cigar,2
94,cigarette,2
94,e-cigarette,2
94,heated tobacco,3
94,hookah,2
94,smokeless tobacco,2
95,cigar,2
95,cigarette,2
95,e-cigarette,1
95,heated tobacco,2
95,hookah,2
95,smokeless tobacco,2
96,cigar,2
96,cigarette,1
96,e-cigarette,1
96,heated tobacco,2
96,hookah,2
96,smokeless tobacco,2
98,cigar,2
98,cigarette,2
98,e-cigarette,2
98,heated tobacco,2
98,hookah,2
98,smokeless tobacco,2
100,cigar,2
100,cigarette,2
